iter	Passed	Remaining
0	1	1220
1	2	1440
2	4	1559
3	6	1608
4	8	1718
5	10	1754
6	12	1745
7	14	1741
8	15	1731
9	17	1725
10	19	1719
11	20	1715
12	22	1709
13	24	1733
14	26	1728
15	28	1726
16	29	1722
17	31	1716
18	33	1713
19	34	1712
20	36	1707
21	38	1707
22	40	1704
23	42	1715
24	43	1714
25	45	1712
26	47	1707
27	49	1706
28	50	1702
29	52	1701
30	54	1698
31	56	1697
32	58	1703
33	59	1701
34	61	1699
35	63	1697
36	65	1694
37	66	1690
38	68	1686
39	70	1685
40	71	1682
41	73	1680
42	75	1679
43	77	1677
44	78	1674
45	80	1672
46	82	1669
47	84	1668
48	85	1665
49	87	1663
50	89	1661
51	92	1678
52	93	1674
53	95	1673
54	97	1670
55	99	1668
56	100	1666
57	102	1664
58	104	1661
59	105	1658
60	107	1660
61	109	1656
62	111	1654
63	112	1651
64	114	1649
65	116	1646
66	118	1644
67	119	1642
68	121	1640
69	123	1639
70	125	1638
71	127	1638
72	128	1636
73	130	1634
74	132	1633
75	134	1630
76	136	1638
77	138	1641
78	140	1639
79	142	1638
80	144	1635
81	145	1631
82	147	1629
83	149	1625
84	150	1623
85	152	1621
86	154	1619
87	156	1617
88	157	1615
89	159	1612
90	161	1608
91	162	1605
92	164	1602
93	165	1599
94	167	1596
95	169	1593
96	170	1590
97	172	1589
98	174	1587
99	175	1583
100	177	1580
101	179	1578
102	180	1574
103	182	1571
104	184	1568
105	185	1565
106	187	1562
107	188	1560
108	190	1558
109	192	1555
110	193	1552
111	195	1550
112	197	1547
113	198	1543
114	200	1541
115	201	1538
116	203	1536
117	205	1535
118	207	1533
119	208	1531
120	210	1528
121	212	1525
122	213	1522
123	215	1520
124	216	1517
125	218	1515
126	220	1513
127	222	1513
128	223	1510
129	225	1508
130	227	1505
131	228	1505
132	230	1503
133	232	1500
134	233	1497
135	235	1497
136	237	1495
137	239	1493
138	240	1491
139	242	1488
140	244	1487
141	245	1485
142	247	1483
143	249	1481
144	250	1480
145	252	1477
146	254	1476
147	256	1474
148	257	1472
